Geograph,Name,_Section,Height (m),Grid Ref,GridRefXY,xcoord,ycoord
http://www.geograph.org.uk/gridref/NM9171566424,Beinn na h-Uamha,18.2,762.4,NM917664,NM9171566424,191715,766424
http://www.geograph.org.uk/gridref/NM8706057648,Creach Bheinn,18.3,853,NM870576,NM8706057648,187060,757648
http://www.geograph.org.uk/gridref/NM8534356342,Fuar Bheinn,18.3,766,NM853563,NM8534356342,185343,756342
http://www.geograph.org.uk/gridref/NG9633409056,Buidhe Bheinn,10.1,885.5,NG963090,NG9633409056,196334,809056
http://www.geograph.org.uk/gridref/NG9567608755,Buidhe Bheinn West Top,10.1,879,NG956087,NG9567608755,195676,808755
http://www.geograph.org.uk/gridref/NG9583311037,Sgurr a'Bhac Chaolais,10.1,885.2,NG958110,NG9583311037,195833,811037
http://www.geograph.org.uk/gridref/NG8543312007,Beinn na h-Eaglaise,10.1,805,NG854120,NG8543312007,185433,812007
http://www.geograph.org.uk/gridref/NH1307807694,Druim nan Cnamh [Beinn Loinne],10.1,789,NH130076,NH1307807694,213078,807694
http://www.geograph.org.uk/gridref/NG9176717364,Sgurr Mhic Bharraich,10.1,779,NG917173,NG9176717364,191767,817364
http://www.geograph.org.uk/gridref/NG8715212123,Beinn nan Caorach,10.1,774,NG871121,NG8715212123,187152,812123
http://www.geograph.org.uk/gridref/NG8959401597,Sgurr a'Choire-bheithe,10.2,913.32,NG895015,NG8959401597,189594,801597
http://www.geograph.org.uk/gridref/NM9874097981,Sgurr an Fhuarain,10.2,901,NM987979,NM9874097981,198740,797981
http://www.geograph.org.uk/gridref/NG9271404866,Sgurr nan Eugallt,10.2,898,NG927048,NG9271404866,192714,804866
http://www.geograph.org.uk/gridref/NG9310104481,Sgurr nan Eugallt East Top,10.2,895,NG931044,NG9310104481,193101,804481
http://www.geograph.org.uk/gridref/NM8993998626,Ben Aden [Beinn an Aodainn],10.2,887,NM899986,NM8993998626,189939,798626
http://www.geograph.org.uk/gridref/NN0125994469,Sgurr Mhurlagain,10.2,880,NN012944,NN0125994469,201259,794469
http://www.geograph.org.uk/gridref/NM9860894041,Fraoch Bheinn,10.2,858,NM986940,NM9860894041,198608,794041
http://www.geograph.org.uk/gridref/NM8217696727,Beinn Bhuidhe,10.2,855,NM821967,NM8217696727,182176,796727
http://www.geograph.org.uk/gridref/NM9479994668,Sgurr Cos na Breachd-laoidh,10.2,835,NM947946,NM9479994668,194799,794668
http://www.geograph.org.uk/gridref/NG7907501078,Sgurr Coire Choinnichean,10.2,796,NG790010,NG7907501078,179075,801078
http://www.geograph.org.uk/gridref/NG7959306698,Beinn na Caillich,10.2,785,NG795066,NG7959306698,179593,806698
http://www.geograph.org.uk/gridref/NN2406497202,Ben Tee,10.3,904,NN240972,NN2406497202,224064,797202
http://www.geograph.org.uk/gridref/NN1854994632,Meall na h-Eilde,10.3,838,NN185946,NN1854994632,218549,794632
http://www.geograph.org.uk/gridref/NN1746495132,Meall Coire nan Saobhaidh,10.3,826,NN174951,NN1746495132,217464,795132
